AI Python Developer,https://www.indeed.com/rc/clk?jk=721d932d5bc17d5f&fccid=b5004022cc4c31b1&vjs=3,Expedient,"Hybrid remote in Pittsburgh, PA 15212","Posted
Just posted","$60,000 - $100,000 a year"
"Senior Site Reliability Engineer, Series B AI Startup",https://www.indeed.com/rc/clk?jk=e6d38832f4f12831&fccid=09e02654c2f26bbd&vjs=3,Recruiting From Scratch,"Pittsburgh, PA 15213 
(North Oakland area)","Posted
Just posted","$130,000 - $170,000 a year"
Data Scientist Fellowship (Closes 11/30/2023),https://www.indeed.com/rc/clk?jk=fc60e9e78cd21b08&fccid=102cde93b6baa45b&vjs=3,Allegheny County Department of Human Services,"Pittsburgh, PA 15222 
(Central Business District area)","Posted
Today","$90,000 a year"
"Senior Production Engineer, AI Voice",https://www.indeed.com/rc/clk?jk=5c648d0aca2c902e&fccid=09e02654c2f26bbd&vjs=3,Recruiting From Scratch,"Pittsburgh, PA 15213 
(North Oakland area)","Posted
Today","$160,000 a year"
"Founding Backend Engineer, AI Startup",https://www.indeed.com/rc/clk?jk=ef36aea465e348cb&fccid=09e02654c2f26bbd&vjs=3,Recruiting From Scratch,"Remote in Pittsburgh, PA 15213","Posted
Posted 1 day ago","$160,000 a year"
"Temporary Talent Workforce (TTW) - Lead, People Analytics",https://www.indeed.com/rc/clk?jk=7e1fe0b2efcb9ad5&fccid=9e215d88a6b33622&vjs=3,Deloitte,"Remote in Pittsburgh, PA","Posted
Posted 4 days ago",
Data Analytics Fraud Specialist Manager,https://www.indeed.com/rc/clk?jk=aead06ee842ab181&fccid=9e215d88a6b33622&vjs=3,Deloitte,"Pittsburgh, PA","Posted
Posted 4 days ago",
DATA SCIENTIST,https://www.indeed.com/rc/clk?jk=cd7eb8e0f0b6be77&fccid=c3b8389ba1f05d96&vjs=3,U.S. Army Cyber Command,"Pittsburgh, PA","Posted
Posted 5 days ago","$71,402 - $132,296 a year"
Data Scientist - Sr. Data Scientist,https://www.indeed.com/rc/clk?jk=0ff0de57763b2db9&fccid=08ff885501822d01&vjs=3,FedEx Ground Careers US,"Moon, PA 15108","Posted
Posted 6 days ago","$89,024 - $170,352 a year"
"Senior Director of Data, Reporting, and Compliance",https://www.indeed.com/rc/clk?jk=897e3f4785f7f642&fccid=345df65f9aa9d884&vjs=3,Propel Schools,"Pittsburgh, PA 15203 
(Southside Flats area)","Posted
Posted 6 days ago","$95,000 - $105,000 a year"
Machine Learning/Computer Vision Engineer,https://www.indeed.com/rc/clk?jk=94b871fb1f12c6b3&fccid=8a90a0ee1d8ff04d&vjs=3,Michelin,"Pittsburgh, PA","Posted
Posted 6 days ago",
Senior Data Engineer,https://www.indeed.com/rc/clk?jk=054d29cc7e515226&fccid=93bd8c288262825f&vjs=3,EOS IT Solutions,"Pittsburgh, PA","Posted
Posted 6 days ago",
"AIML - iOS Engineer, Machine Learning Platform & Infrastructure",https://www.indeed.com/rc/clk?jk=62b85be5ff51a666&fccid=c1099851e9794854&vjs=3,Apple,"Pittsburgh, PA","Posted
Posted 6 days ago",
Digital Adoption Platform - AI Lead Engineer,https://www.indeed.com/rc/clk?jk=57945e241f94f0a4&fccid=2dd390c3a48a7ed0&vjs=3,KPMG,"Pittsburgh, PA 15219 
(Central Business District area)","Posted
Posted 6 days ago",
Data Scientist,https://www.indeed.com/rc/clk?jk=aab252b1f8dd7d43&fccid=4bd31bfbc1a4c478&vjs=3,Mayvue,"Remote in Pittsburgh, PA 15212","Posted
Posted 8 days ago",
Data Science Research Associate - Office of the Provost - Eberly Center,https://www.indeed.com/rc/clk?jk=dcbdfb6f14e96456&fccid=7655fb7543c6cbbf&vjs=3,Carnegie Mellon University,"Pittsburgh, PA 15213 
(Squirrel Hill North area)","Posted
Posted 13 days ago",
Bus Exp Plan & Admin Advisor,https://www.indeed.com/rc/clk?jk=adf6706f68fd5022&fccid=b1330bfa6e5aae73&vjs=3,PNC Financial Services Group,"Pittsburgh, PA 15222 
(Strip District area)","Posted
Posted 11 days ago",
Machine Learning Quant Analytics & Model Development Analyst,https://www.indeed.com/rc/clk?jk=6a12c18a35c7eb4a&fccid=b1330bfa6e5aae73&vjs=3,PNC Financial Services Group,"Pittsburgh, PA 15201 
(Central Lawrenceville area)","Posted
Posted 11 days ago","$80,000 - $135,000 a year"
